Title,Content,Source
¡¥Not contributing to negotiations¡¦: Kremlin slams Senate¡¦s move to flood Ukraine with arms -  Russian Politics & Diplomacy - TASS,US arm supply Ukraine contribute success negotiation Moscow Kiev KremlinSpokesmanDmitryPeskov told reporter Thursday commenting US bill supply Ukraine arm lend lease program Pumping Ukraine weapon various format doe contribute success Russian Ukrainian negotiation Kremlin spokesman pointed Of course likely negative effect The US Senate Wednesday approved bill supply Ukraine arm lend lease program order make easier provide military assistance Kiev As noted website upper chamber Congress document initiated January 19 group senator led Republican John Cornyn wa passed unanimously To become law draft must still approved member House Representatives signed President JoeBiden,TASS
Lukashenko says Putin promises he would regard attack on Belarus as attack on Russia -  Russian Politics &amp; Diplomacy - TASS,Belarusian President AlexanderLukashenko say ha received assurance Russian President VladimirPutin Russian leadership would regard attack Belarus attack Russia A Telegram channel close Belarusian presidential press service released video Lukashenko statement effect Thursday We joint group Part western border Russia I asked Russian president TASS avoid using part group To keep reserve case something happens His reply wa I promise attack one step across border Belarusian territory would mean attack Russia Lukashenko cited Putin saying I would like West TASS hear understand And refrain lying coining fake Lukashenko added Also pointed NATO wa quickly building force border Belarus Poland Baltic country,TASS
Kiev bogus stories raise doubts about its readiness for diplomacy ??Russian ambassador -  Russian Politics &amp; Diplomacy - TASS,The Ukrainian authority stepping campaign spread deliberately false accusation Russian military raise doubt sincerity Kiev statement desire seek way resolve crisis diplomacy Russian Ambassador United States Anatoly Antonov said Wednesday He wa responding question American edition Newsweek Every day Ukrainian authority stepping anti Russian misinformation campaign throwing unsubstantiated accusation alleged atrocity war crime Russian Armed Forces Judging rhetoric leadership Ukraine driven much concern civilian population desire secure image victim discredit country said quoted embassy Telegram channel The reaction country tragic event city Bucha surprising Without bothering understand happened colleague blamed Russian military everything Inconsistencies indicating fabricated nature action ignored I would like note March 31 mayor city Bucha Anatoly Fedoruk stated withdrawal Russian troop say word shot resident The first accusation appeared Western medium April 3 It seems unlikely one noticed dead body lying street four day diplomat emphasized On April 1 representative Security Service Ukraine national police came They announced intention clear territory Russian accomplice Ukrainian radical even called execution ordinary citizen special identification mark said Antonov noted Russian Defense Ministry also ha evidence planned terrible crime Ukrainian authority Sumy Kiev region We know certain Kiev regime preparing yet another provocative content death civilian Kharkov region allegedly result action Russian Armed Forces People paid 25 taking part staged filming specified All happening moment Ukrainian side ha expressed readiness reaffirm non nuclear non bloc neutral status For country extremely important In context sincerity Kiev statement desire seek way resolve crisis diplomatically highly questionable ambassador said,TASS
Bucha killings: 'I wish they had killed me too' - BBC News,VolodymyrAbramov wa trying desperately put fire home Kyiv suburb Bucha calling son law help Russian troop smashed front gate Volodymyr home opened fire house dragged Volodymyr 72 daughter Iryna 48 husband Oleg 40 yard The soldier took Oleg beyond gate pavement Volodymyr said threw grenade front door house exploded deafening bang set house fire Volodymyr grabbed small fire extinguisher tried vain extinguish flame Where Oleg Oleg help shouted daughter But reply came one Russian soldier said Oleg help They found Oleg pavement outside gate wa clear way wa lying forced kneel shot head point blank range Iryna said He wa welder lived quiet life corner Yablonska Street Bucha wa taken home killed The killing one score hundred uncovered Bucha Russian troop withdrew Kyiv suburb recently The mayor Anatoliy Fedoruk said Monday least 300 civilian killed There official tally yet Russia ha denied involvement atrocity But burned tank litter city On ground church open mass grave dead still inside black body bag loose sand On road bullet riddled civilian car least one body still inside Houses caved shelling driveway ploughed tank Residents described Russian soldier shooting civilian outside home provocation satellite imagery show body lying street Russians still control The Russian soldier killed OlegAbramov ask anything wife Iryna said They ask anything say anything killed said They told take shirt kneel shot She wept Tuesday stood spot wa killed dark patch blood wa still visible street When ran found disfigured body four Russian soldier dragged standing casually drinking water said She screamed shoot one raised gun lowered raised lowered Volodymyr dragged back inside gate Those soldier told u three minute leave forced u run slipper Volodymyr said Bucha wa like apocalypse dead body everywhere street full smoke Volodymyr Iryna choice leave Oleg body lying street lay nearly month sheltered relative house nearby When wa safe return Volodymyr tried bury son law rough patch earth pavement half dug hole wa still visible Tuesday But exhausted effort afraid Russian soldier Volodymyr carried Oleg back inside yard laid Later Ukrainian soldier loaded body van Volodymyr said took away I idea going find said Ukrainian authority cleared body street Bucha fear found basement yard private home Officials begun process cataloguing horror And great damage Bucha hard imagine scale reconstruction needed restore attractive suburb wa Along one road town Tuesday burned tank piled almost every house wa destroyed 84 year old Hryhoriy Zamohylnyi wa sweeping street oblivious total destruction around Somehow home wa intact building left undamaged along whole stretch road I saw war Germans war Russians said Zamohylnyi former engineer born raised Bucha What see animal cruelty said Addressing UN security council Tuesday Ukrainian president VolodymyrZelensky accused Russians committing worst crime since World War Two called responsible tried Nazis Nuremberg The Russian military searched purposefully killed anyone served country said They killed entire family adult child tried burn body Ukraine ha begun war crime investigation Russia action Bucha nearby Irpin It say 410 body found across two suburb far There fear atrocity found Russians retreat suburb opened body street mass graf Volodymyr Iryna Abramov looking one body fear never find He wa peaceful man family man welder struggled spine fracture wa disabled life Volodymyr said Just died I wa yard I saw briefly open gate knee said final word He asked Inside Thatcher Reagan close political relationshipWhat Putin came power On hunt serial killer,BBC
Donbas: Why Russia is trying to encircle Ukraine's east - BBC News,Russia ha pulled troop away Kyiv shifted focus war eastern Ukraine series defeat near capital This push area known Donbas could mean protracted conflict What would Vladimir Putin need could claim goal liberating Ukraine old industrial heart possible Russian force already triggered humanitarian catastrophe east reducing Mariupol ruin failed inflict defeat Ukraine military Preparing reinvigorated Russian onslaught east President VolodymyrZelensky vowed We fight every metre land Ukraine best trained force already posted east eight year war Russian backed separatist They thought suffered heavy loss still significant challenge Russia invading army When President Putin talk Donbas referring Ukraine old coal steel producing area What really mean entirety two big eastern region Luhansk Donetsk run outside Mariupol south way northern border Nato also expects Russian force try create land bridge running along south coast west Donetsk Crimea The key ha identified Kremlin Russian speaking part Ukraine Russia Ukraine say SamCranny Evans Royal United Services Institute These area may broadly Russian speaking longer pro Russian Mariupol wa one pro Russian city Ukraine level beyond comprehension say defence specialist KonradMuzyka head Rochan Consulting None The Russian leader ha repeatedly made unfounded accusation Ukraine ha carried genocide east When war began two third eastern region Ukrainian hand The rest wa run separatist created Russian backed statelets war began eight year ago Just war President Putin recognised entirety two eastern region independent Ukraine If Russia conquer big region would give VladimirPutin sort achievement Russia war The next step would annexe Donbas like Crimea discredited referendum 2014 And came 9 May would even able display Victory Day Russia military still celebrates defeat Nazi Germany 1945 The Russian puppet leader Luhansk ha already spoken referendum near future although idea even sham vote war zone seems absurd Russian force trying encircle Ukraine army east moving north east south This big territory control I think underestimate geographical complexity say Tracey German professor conflict security King College London After week fighting failed capture Ukraine second city Kharkiv south Russian border eventually seized control Izyum strategic town main motorway heading separatist controlled east Civilians moved ahead Russian advance Save family still local leader SerhiyHaidai appealed resident bus train headed west Getting bus evacuate Rubizhne Popasna wa becoming increasingly difficult said The town Russian sight already experienced year war since Russian backed separatist first seized large part Donbas The next big target M03 road Slovyansk city 125 000 people wa seized Russian backed force 2014 recaptured The US based Institute Study War ISW say Ukraine hold Slovyansk Russia campaign seize region likely fail Russian force bombarding succession town east area Luhansk still Ukrainian control including Rubizhne Lysychansk Popasna Severodonetsk Blocks flat destroyed civilian killed home These town important controlling would enable Russia drive west link Russian force planning move south east Izyum say ISW Not Russians trying control supply line road also trying block Ukrainian access rail route west Rail effective transport Ukrainian troop heavy weaponry fastest route fleeing civilian Controlling part rail network would also enable Russian force move troop supply Civilians moved ahead Russian advance Save family still local leader Serhiy Haidai appealed resident bus train headed west Getting bus evacuate Rubizhne Popasna wa becoming increasingly difficult said Trains still running Slovyansk Thursday line cut Izyum north Mariupol Melitopol south MarynaAgafonova 27 fled family home Lysychansk leaving parent behind Russian shell continued fall They attacked hospital residential building There heating electricity Ukrainian force still holding number told BBC They letting Russians occupy Life control Russian backed separatist quieter although separatist authority accused Ukrainian force shelling residential building killing civilian Officials Donetsk statelet say 72 civilian died since mid February One woman Luhansk told BBC condition anonymity seen lot Russian military armour city atmosphere wa one fear caution I scared scary said Men military age required join local militia anyone avoided draft wa hiding explained They mobilising men street catching There men shop town street As result male dominated business shut said We already Russia although informally Everyone ha Russian passport At start war 10 brigade made Joint Forces Operation JFO east regarded best equipped best trained soldier Ukraine ha We really know strength Ukrainian force said Sam Cranny Evans Rusi belief number boosted volunteer recent week Russian force already sustained high loss five week conflict morale thought low They made men enlisted local separatist area well broader Russian army The main goal Ukrainians inflict big loss Russian side possible Ukrainians using asymmetric tactic avoid big battle say KonradMuzyka One man called Mykyta managed flee Russian bombardment Mariupol said wa confident Ukrainian army would succeed fighting back Some day return city Azov battalion surrender Mariupol told BBC The Ukrainian army cunning I see city I heard good disguise Inside Thatcher Reagan close political relationship What Putin came power On hunt serial killer None,BBC
Ukraine war in maps: Tracking the Russian invasion - BBC News,Russia ha withdraw troop north Ukraine shift focus capturing territory eastern region country Here latest development day 43 invasion Russia invaded Ukraine 24 February force abandoned attack Kyiv withdrawn around capital according Institute Study War ISW Analysts ISW believe Russian unit withdrawn Belarus around Kyiv unlikely regain combat effectiveness time unclear redeployed Ukrainian force retaken area around Kyiv north city recent day Russian force abandoned assault capital withdrew across border Belarus western Russia Images several liberated town west Kyiv show huge amount damage destruction life property allegation war crime committed Russian troop The mayor Sumy near north eastern border confirmed Wednesday Russian troop left city The Russian withdrawal ha also allowed Ukrainian force retake area around Chernihiv strategically important city north east Kyiv sits capital Russian border Ukrainian force pushing north Chernihiv establish control border according ISW With recent setback elsewhere country Russian official said focus force complete liberation Donbas The Donbas broadly refers Ukraine eastern region Donetsk Luhansk Russian backed separatist held significant territory Russia invasion Russian troop region said made minor gain recent day focus primarily air artillery attack around Rubizhne While bombardment Kharkiv north Luhansk continues analyst ISW say Russian troop hoping advance Izyum towards Slovyansk encircle Ukrainian force east BBC defence correspondent Jonathan Beale Donbas saw tailback traffic stretching 80km 50 mile Wednesday thousand people try flee fighting Russian force initially made rapid gain south main objective creation land corridor Crimea annexed 2014 area held Russian backed separatist Donetsk Luhansk Standing way objective ha port city Mariupol ha encircled Russian force since start March Ukrainian force remain control city centre despite steady Russian advance analyst say unclear much longer Ukrainians hold The UK Ministry Defence say Russian force preventing humanitarian aid reaching city 100 000 people thought remain trapped To west Russia attempting push towards Odesa aim cutting Ukraine access Black Sea Their advance stalled Mykolaiv counter attack Ukrainian troop pushed Russian force back towards city Kherson But Russia continues launch air strike Odesa oil facility city targeted attack earlier week By David Brown Bella Hurrell Dominic Bailey Mike Hills Lucy Rodgers Paul Sargeant Mark Bryson Zoe Bartholomew Sean Willmott Sana Dionysiou Joy Roxas Gerry Fletcher Jana Tauschinsk Debie Loizou Prina Shah NoneFrom 2 March daily assessment differentiated Assessed Russian controlled Ukrainian territory Assessed Russian advance Ukraine latter indicating area Russians believed launched attack control NoneThe situation Ukraine fast moving likely time change reflected map None,BBC
U.S. to Announce New Sanctions on Russia Over Ukraine Killings,The United States wa expected announce tough new sanction Russia Wednesday including ban new investment day Ukraine president showed UN Security Council harrowing image violence accused Moscow widespread atrocity The sanction come outcry discovery dozen body civilian clothing area Russian troop withdrawn around Ukraine capital including town Bucha Ukrainian leader Volodymyr Zelensky likened Russia action Nazi atrocity impassioned speech videolink 15 member UN Security Council Tuesday They cut limb slashed throat woman raped killed front child Zelensky said He demanded stronger action Western power called Russia exclusion Council hold veto power Later nightly address frustrated Zelensky said Russia wa blocking UN carrying function wa created The UN Security Council exists security world said In interview BBC U S ambassador UN admitted one question Zelensky frustration Council Council operates But insisted Council wa holding Russia account Moscow wa isolated within The killing Bucha elsewhere galvanized support Ukraine Washington announcing another 100 million military aid produced new momentum additional sanction Moscow We already concluded Russia committed war crime Ukraine information Bucha appears show evidence war crime U S source familiar planned measure said On Wednesday Washington coordination G7 European Union expected announce measure including ban new investment Russia You expect target Russian government official family member Russian owned financial institution also state owned enterprise White House Press Secretary Jen Psaki told briefing Tuesday A new sanction package prepared Europe meanwhile set include oil coal France foreign minister said EU talk Luxembourg And Britain said ha far frozen 350 billion asset President Vladimir Putin war chest As part push isolate Moscow Spain Italy Denmark Slovenia expelled dozen Russian diplomat suspected intelligence operative Tuesday following similar move France Germany total 180 expulsion 48 hour The Kremlin called short sighted move would complicate effort negotiate end hostility Putin also warned reprisal recent European measure targeting Russian gas giant Gazprom said Moscow would monitor food export hostile nation raising specter shortage price spike The Kremlin ha denied civilian killing claiming image emerging Bucha site fake produced Ukrainian force death occurred Russian soldier pulled At Security Council meeting Moscow ambassador rejected Zelensky claim saying ungrounded accusation confirmed eyewitness But satellite photo taken Bucha wa still Moscow control show appear body lying street dead later found Ukrainian force seen journalist And multiple Bucha resident told AFP seen Russian soldier killing civilian Right front eye fired man wa going get food supermarket said 43 year old Olena declined give family name During grim cleanup remains partially burned body black bag lifted van official telling journalist dozen body remained apartment nearby wood Western nation given short shrift Russia denial What seen Bucha random act rogue unit It deliberate campaign kill torture rape commit atrocity U S Secretary State Antony Blinken said European Commission chief Ursula von der Leyen visit Kyiv week ha offered bloc assistance documenting proof war crime Ukrainian authority warned others area may suffered even worse fate Bucha Scenes devastation met venturing area Russian force withdrawn In northern city Chernigiv wa besieged early day invasion charred child hospital full bullet shrapnel hole served shelter In dank basement child painted wall tiny handprints smeared rainbow fluttering Ukrainian flag Cluster bomb flying trace bomb said 51 year old Olena Makoviy The injured brought child hospital adult child City official estimate around 350 civilian killed Chernigiv fellow resident digging mass graf bury It wa scary first day war said Makoviy They brought guy handsome young longer alive None The Russian withdrawal area around Kyiv north part shift focus toward Ukraine southeast bid create land bridge occupied Crimea Moscow backed separatist statelets Donbas NATO chief Jens Stoltenberg said alliance expects Russian push coming week try seize entire Donbas In village Krasnopillia Ukrainian force preparing counter push We know Russians reinforcing getting ready attack senior Ukrainian officer ground told AFP We ready planned surprise along way Civilians asked evacuate west Tuesday line car stretching 3 kilometer wa waiting pas checkpoint thousand resident boarded train leave And violence ha continued elsewhere Ukraine prosecutor general saying Tuesday bombing around Kyiv killed 12 people Peace talk side far gone nowhere though Moscow say ready continue Ukraine ha proposed agreement country would guarantee security return Kyiv accepting neutral non nuclear status joining NATO refusing host foreign military base The proposal would also see Russia accept Kyiv admission European Union,Moscow
Russian Cinema in Turmoil as Hollywood Pulls Out,After year spent translating Hollywood film Russian Mila Grekova wa suddenly thrown work Moscow military intervention Ukraine Five Hollywood giant Disney Warner Bros Universal Sony Pictures Paramount stopped releasing new film leaving Russian cinema bereft latest blockbuster But ha made Grekova turn President Vladimir Putin It West I hate today Putin 56 year old said Bollywood may replace Hollywood Russia late learn Hindi said referring India refusal condemn Moscow join sanction Russia film industry ha thrown turmoil fighting Ukraine wa beginning recover pandemic And like many sector hit sanction film industry turning away West looking inward movie east Asia Russians avid cinema goer highest number admission Europe 145 7 million last year according European Audiovisual Observatory Many flock see Hollywood film often dubbed instead shown subtitle None Before Hollywood withdrawal Russian company Mosfilm Master wa dubbing around 10 foreign film month mostly English Now lost two third business company director Yevgeny Belin told AFP high tech dubbing studio Moscow During pandemic film cinema open Today cinema film said Russia National Association Cinema Owners said last month cinema risk losing 80 revenue Looking adapt Mosfilm Master hunt translator Korean Mandarin even though Belin said doubt Asian film work Russians cultural difference Westerners closer u said 70 year old ha spent three decade dubbing Olga Zinyakova president Karo one Russia leading cinema chain said confident industry rebuild The situation extremely difficult catastrophic 37 year old said Since arrival Hollywood post Soviet Russia 30 year ago gone lot crisis political economic pandemic said surrounded empty seat Moscow Oktyabr cinema home Europe largest screening room 1 500 place Since conflict began Feb 24 number ticket sold Karo 35 cinema ha fallen 70 Zinyakova said The Russian government ha promised major financial support tax break film production cinema look replace Hollywood film homegrown fare Russians explore deeply said Zinyakova pointing success Russian film 1990s like cult movie Brat Brother screening several Moscow cinema Zinyakova also preparing include Asian Latin American film among upcoming release And Hollywood come back Russian market viewer longer said Pavel Doreuli 44 year old sound designer work around 15 Russian film year said wa surprise Hollywood ha pulled Russia World cinema ha hostage big politics year said saying major film festival like Cannes Berlin longer art promoting certain value Still Doreuli said would shame Russia cut world cinema pointing exclusion official Russian delegation year Cannes film festival If excluded international festival Russians give arthouse cinema offer different vision world precious today said,Moscow
West Readies New Sanctions on Russia Over Ukraine Killings,Western power readying new sanction Russia Wednesday Ukraine president called tougher action accused Moscow atrocity six week war The measure follow international outcry hundred civilian found dead area Russian troop withdrawn around Ukraine capital including town Bucha In video address UN Security Council Tuesday Ukrainian leader Volodymyr Zelensky showed harrowing image corps including child said victim Russian atrocity They cut limb slashed throat Women raped killed front child said earlier comparing Russia assault 1937 Nazi bombing town Guernica The Kremlin ha denied civilian killing claiming image emerging Bucha site fake produced Ukrainian force death occurred Russian soldier pulled Zelensky called Russia exclusion UN Security Council one five member veto power saying wa blocking UN carrying function wa created On Wednesday Pope Francis ha repeatedly called peace naming Russia President Vladimir Putin also deplored powerlessness international organization At weekly audience Vatican 85 year old pontiff kissed flag said come martyred city Bucha condemning ever horrendous cruelty Ukraine The UN General Assembly announced later would vote Thursday suspending Russia body Human Rights Council move U S Britain excluded Thousands people killed 11 million displaced refugee within Ukraine since Russia invasion Feb 24 Western power already pummelled Russia debilitating economic sanction forced Moscow Wednesday make foreign debt payment dollar denominated bond ruble But killing Bucha elsewhere galvanized support Kyiv Washington announcing another 100 million military aid produced new momentum additional sanction Moscow Washington coordination G7 European Union expected Wednesday announce measure including ban new investment Russia You expect target Russian government official family member Russian owned financial institution also state owned enterprise White House Press Secretary Jen Psaki told briefing Tuesday The EU meanwhile wa poised implement fifth round sanction cutting Russian coal import European Council chief Charles Michel said sooner later must also impose oil gas sanction Condemning war crime Russia said There must severe consequence responsible But addressing Irish parliament Wednesday Zelensky condemned indecisiveness part EU nation dependent Russian energy We still need convince Europe Russian oil feed Russian military machine new source funding Zelensky added calling also total exclusion Russian bank Western finance In Britain say ha far frozen 350 billion asset Putin war chest Prime Minister Boris Johnson said happened Bucha look far short genocide He said international community moving lockstep impose sanction penalty Vladimir Putin regime In move isolate Moscow string EU country including Germany France Italy Spain expelled 200 Russian diplomat staff week The Kremlin called mass expulsion short sighted move would complicate effort negotiate end hostility Putin also warned reprisal recent European measure targeting Russian gas giant Gazprom said Moscow would monitor food export hostile nation raising specter shortage price spike At Security Council meeting Moscow ambassador rejected Zelensky claim saying ungrounded accusation confirmed eyewitness But satellite photo taken Bucha wa still Moscow control show appear body lying street dead later found Ukrainian force seen journalist And multiple Bucha resident told AFP seen Russian soldier killing civilian Right front eye fired man wa going get food supermarket said 43 year old Olena declined give family name During grim cleanup remains partially burned body black bag lifted van official telling journalist dozen body remained apartment nearby wood European Commission chief Ursula von der Leyen visit Kyiv week ha offered bloc assistance documenting proof war crime Ukrainian authority warned area may suffered even worse fate Bucha Scenes devastation met venturing area Russian force withdrawn In northern city Chernigiv wa besieged early day invasion charred child hospital full bullet shrapnel hole served shelter In dank basement child painted wall tiny handprints smeared rainbow fluttering Ukrainian flag Cluster bomb flying trace bomb said 51 year old Olena Makoviy The injured brought child hospital adult child City official estimate around 350 civilian killed Chernigiv fellow resident digging mass graf bury It wa scary first day war said Makoviy They brought guy handsome young longer alive The Russian withdrawal area around Kyiv north part shift focus towards Ukraine southeast bid create land bridge occupied Crimea Moscow backed separatist statelets Donbas NATO chief Jens Stoltenberg said alliance expects Russian push coming week try seize entire Donbas We know Russians reinforcing getting ready attack senior Ukrainian officer village Krasnopillia told AFP We ready planned surprise along way Civilians asked evacuate west Tuesday line car stretching three kilometer wa waiting pas checkpoint thousand resident boarded train leave Russian strike Wednesday killed least two people wounded five others near humanitarian distribution point east Donetsk region regional governor said Meanwhile shell rocket landing regular interval industrial city Severodonetsk easternmost city held Ukrainian force eastern frontline Peace talk side far gone nowhere though Moscow say ready continue Ukraine ha proposed agreement country would guarantee security return Kyiv accepting neutral non nuclear status joining NATO refusing host foreign military base The proposal would also see Russia accept Kyiv joining European Union,Moscow
Ukraine's Zelensky questions UN Security Council's mandate in speech on alleged Russian atrocities,Ukrainian President Volodymyr Zelensky accused Russian troop indiscriminately killing civilian pleasure emotionally charged address United Nations Security Council Tuesday questioning mandate Security Council Zelensky speech came day visited Kyiv suburb Bucha shocking image body street emerged weekend On Tuesday related aftermath Russia retreat town horrifying detail describing entire family killed people throat slashed woman raped killed front child Zelensky said Russia action different terror group except Russia permanent member UNSC The Ukrainian leader criticized body asking representative point blank Where security Security Council need guarantee It though Security Council None Zelensky added It obvious key institution world designed combat aggression ensure peace work effectively Ladies gentleman I would like remind Article 1 Chapter 1 UN Charter What purpose organization Its purpose maintain make sure peace adhered And UN charter violated literally starting Article 1 And point Articles asked At least 1 480 civilian killed least 2 195 injured Ukraine start Russian invasion February 24 April 4 UN official said meeting citing updated number Office High Commissioner Human Rights OHCHR The latest figure number Ukrainian civilian conflict doubled since last briefing UNSC March 17 In Bucha body strewn across street basement found human right group documented independent journalist Satellite image suggest body since least March 18 In damning speech Zelensky said wa single crime Russians would commit alleging Russian troop searched purposefully killed anyone served country They shot killed woman outside house tried call someone They killed entire family adult child tried burn body Zelensky said I addressing behalf people honor memory deceased every single day memory civilian died shot killed back head tortured told UNSC Some shot street Others thrown well died suffering They killed apartment house blown grenade Civilians crushed tank sitting car middle road pleasure continued Women raped killed front child Their tongue pulled aggressor hear wanted hear Zelensky also warned horror found Bucha would replicated city across Ukraine Demanding accountability called Russians given criminal order carried killing people brought tribunal similar Nuremberg trial occurred World War II Nazis put trial UN Civilians targeted Separately United Nations Tuesday said shocking image Bucha showed sign civilian directly targeted directly killed In virtual press briefing OHCHR spokesperson Liz Throssell said report emerging Bucha area disturbing development She specifically referenced disturbing image people hand tied behind back partially naked woman whose body burnt evidence suggesting direct targeting individual We talking war crime context shelling bombardment artillery attack Now need investigated But could argue wa military context example building hit It hard see wa military context individual lying street bullet head body burned Throssell continued As OHCHR trying currently gain access Bucha exact information share regarding situation ground Throssell also paid tribute crucial role journalist playing documenting scene mentioning multiple team involved reporting analyzing sending video footage Russia response Russia ha repeatedly denied alleged atrocity despite increasing evidence suggesting otherwise Vassily Nebenzia Russian ambassador United Nations responded Zelensky remark calling accusation Russian military ungrounded We place conscience ungrounded accusation Russian military confirmed eyewitness Nebenzia said translated remark The ambassador recalled Zelensky election Ukrainian presidency 2019 stating hope Zelensky would end fighting Donbas region Ukraine failed materialize None Nebenzia also repeated past claim huge amount lie Russian soldier military continue proliferate Addressing Zelensky directly Nebenzia concluded remark claiming Russia came Ukraine bring peace conquer land Nebenzia word echoed Kremlin spokesman Dmitry Peskov earlier Tuesday called allegation groundless well staged tragic show forgery order try denigrate Russian army,CNN
